text,label
Congratulations! You've won a free iPhone. Click here to claim now.,spam
"Hey, are we still meeting for coffee tomorrow?",ham
URGENT! Your bank account has been compromised. Verify your details immediately.,spam
"Limited time offer! Buy one, get one free. Visit our website now.",spam
Can you send me the report by evening? Thanks.,ham
Claim your free vacation today! No hidden charges.,spam
Your OTP for login is 123456. Do not share with anyone.,ham
You have an upcoming appointment with your doctor at 3 PM.,ham
"Win $10,000 instantly! Just reply with 'YES' to participate.",spam
Reminder: Your electricity bill is due tomorrow.,ham
